Vĩ độ,Kinh độ,Tỉnh,Huyện,Xã,Tiểu vùng,Thửa đất,Lô đất,Chủ rừng,Loại đất,Nguồn gốc tài nguyên rừng,Ngày,Độ ưu tiên,Trạng thái
11.4839,108.207646,Lâm Đồng,Di Linh,Tam Bố,680,4.0,5.0,Công ty TNHH một thành viên lâm nghiệp Tam Hiệp,Rừng tự nhiên hỗn hợp lá rộng và lá kim nghèo,Rừng tự nhiên,2018-05-01,Trung bình,Chưa xác minh
11.3997,108.277869,Lâm Đồng,Di Linh,Tam Bố,727,5.0,1.0,Công ty TNHH một thành viên lâm nghiệp Tam Hiệp,Rừng tre tự nhiên hỗn hợp,Rừng tự nhiên,2018-05-01,Trung bình,Chưa xác minh
11.7867,107.937342,Lâm Đồng,Di Linh,Đinh Trang Thượng,607,6.0,6.0,Ban Quản lý rừng Tân Thượng,Rừng tự nhiên thường xanh lá rộng nghèo,Rừng tự nhiên,2018-05-25,Thấp,Chưa xác minh
11.6609,107.979871,Lâm Đồng,Di Linh,Tân Lâm,623,2.0,2.0,Ủy ban nhân dân xã,Rừng trồng khác,Rừng trồng,2018-05-25,Thấp,Chưa xác minh
11.5494,108.220042,Lâm Đồng,Di Linh,Tam Bố,671,7.0,3.0,Công ty TNHH một thành viên lâm nghiệp Tam Hiệp,Rừng trồng khác,Rừng trồng,2018-05-25,Thấp,Chưa xác minh
11.4308,108.028495,Lâm Đồng,Di Linh,Sơn Điền,693,5.0,3.0,Công ty TNHH một thành viên lâm nghiệp Di Linh,Rừng tự nhiên thường xanh lá rộng trung bình,Rừng tự nhiên,2018-05-25,Thấp,Chưa xác minh
11.4234,107.956836,Lâm Đồng,Di Linh,Hòa Bắc,711,2.0,2.0,Không rõ,Rừng trồng gỗ không có trữ lượng,Rừng trồng,2018-05-25,Trung bình,Chưa xác minh
11.3175,108.041772,Lâm Đồng,Di Linh,Sơn Điền,734,1.0,11.0,Công ty TNHH Vĩnh Bảo,Rừng tre tầm võng tự nhiên,Rừng tự nhiên,2018-05-25,Trung bình,Chưa xác minh
11.4995,107.971321,Lâm Đồng,Di Linh,Hòa Trung,659A,1.0,2.0,Ban Quản lý Rừng phòng hộ Hòa Bắc - Hòa Nam,Rừng trồng khác,Rừng trồng,2018-06-06,Thấp,Chưa xác minh
11.4307,108.028605,Lâm Đồng,Di Linh,Sơn Điền,693,5.0,3.0,Công ty TNHH một thành viên lâm nghiệp Di Linh,Rừng tự nhiên thường xanh lá rộng trung bình,Rừng tự nhiên,2018-06-06,Trung bình,Chưa xác minh
11.3464,108.091158,Lâm Đồng,Di Linh,Gia Bắc,732,3.0,22.0,Công ty TNHH một thành viên lâm nghiệp Di Linh,Rừng tre tầm võng tự nhiên,Rừng tự nhiên,2018-06-06,Trung bình,Chưa xác minh
11.3295,108.022275,Lâm Đồng,Di Linh,Sơn Điền,717,6.0,15.0,Công ty TNHH một thành viên lâm nghiệp Di Linh,Rừng tự nhiên thường xanh lá rộng nghèo,Rừng tự nhiên,2018-06-06,Trung bình,Chưa xác minh
11.288,108.083319,Lâm Đồng,Di Linh,Gia Bắc,738,5.0,1.0,Công ty TNHH một thành viên lâm nghiệp Di Linh,Rừng tre tự nhiên hỗn hợp,Rừng tự nhiên,2018-06-06,Thấp,Chưa xác minh
11.7961,107.932729,Lâm Đồng,Di Linh,Đinh Trang Thượng,607,2.0,8.0,Ban Quản lý rừng Tân Thượng,Rừng tre tự nhiên hỗn hợp,Rừng tự nhiên,2018-06-18,Trung bình,Chưa xác minh
11.7548,107.978306,Lâm Đồng,Di Linh,Đinh Trang Thượng,609,3.0,22.0,Ủy ban nhân dân xã,Rừng tre tự nhiên,Rừng tự nhiên,2018-06-18,Thấp,Chưa xác minh
11.5195,108.133337,Lâm Đồng,Di Linh,Bảo Thuận,673,4.0,5.0,Công ty TNHH một thành viên lâm nghiệp Bảo Thuận,Rừng trồng khác,Rừng trồng,2018-06-18,Thấp,Chưa xác minh
11.4987,107.982382,Lâm Đồng,Di Linh,Hòa Trung,659B,4.0,19.0,Công ty cổ phần Tập đoàn Tân Mai,Rừng trồng khác,Rừng trồng,2018-06-18,Thấp,Chưa xác minh
11.4726,108.133849,Lâm Đồng,Di Linh,Bảo Thuận,697,5.0,5.0,Công ty TNHH một thành viên lâm nghiệp Bảo Thuận,Rừng tự nhiên hỗn hợp lá rộng và lá kim nghèo,Rừng tự nhiên,2018-06-18,Trung bình,Chưa xác minh
11.428,108.063529,Lâm Đồng,Di Linh,Gung Ré,695,7.0,14.0,Công ty TNHH một thành viên lâm nghiệp Di Linh,Rừng tự nhiên lá kim trung bình,Rừng tự nhiên,2018-06-18,Trung bình,Chưa xác minh
11.4124,108.074884,Lâm Đồng,Di Linh,Gia Bắc,708,1.0,5.0,Công ty TNHH một thành viên lâm nghiệp Di Linh,Rừng tự nhiên thường xanh lá rộng phục hồi,Rừng tự nhiên,2018-06-18,Thấp,Chưa xác minh
11.2785,108.0773,Lâm Đồng,Di Linh,Gia Bắc,738,4.0,9.0,Công ty TNHH một thành viên lâm nghiệp Di Linh,Rừng tre tầm võng tự nhiên,Rừng tự nhiên,2018-06-18,Trung bình,Chưa xác minh
11.7969,107.908346,Lâm Đồng,Di Linh,Đinh Trang Thượng,606,2.0,10.0,Ban Quản lý rừng Tân Thượng,Rừng tre tầm võng tự nhiên,Rừng tự nhiên,2018-06-30,Trung bình,Chưa xác minh
11.6022,108.142652,Lâm Đồng,Di Linh,Dinh Lac,647A,1.0,18.0,Ủy ban nhân dân xã,Rừng trồng khác,Rừng trồng,2018-06-30,Trung bình,Chưa xác minh
11.5214,108.233921,Lâm Đồng,Di Linh,Tam Bố,677,1.0,9.0,Công ty TNHH một thành viên lâm nghiệp Tam Hiệp,Rừng tre tự nhiên hỗn hợp,Rừng tự nhiên,2018-06-30,Thấp,Chưa xác minh
11.5195,108.133337,Lâm Đồng,Di Linh,Bảo Thuận,673,4.0,5.0,Công ty TNHH một thành viên lâm nghiệp Bảo Thuận,Rừng trồng khác,Rừng trồng,2018-06-30,Thấp,Chưa xác minh
11.4934,108.0133,Lâm Đồng,Di Linh,Liên Đầm,660B,5.0,25.0,Công ty TNHH một thành viên lâm nghiệp Di Linh,Rừng trồng khác,Rừng trồng,2018-06-30,Thấp,Chưa xác minh
11.4085,108.054208,Lâm Đồng,Di Linh,Sơn Điền,709B,2.0,21.0,Công ty TNHH một thành viên lâm nghiệp Di Linh,Rừng trồng khác,Rừng trồng,2018-06-30,Trung bình,Chưa xác minh
11.3079,108.091772,Lâm Đồng,Di Linh,Gia Bắc,735,2.0,31.0,Ủy ban nhân dân xã,Rừng trồng khác,Rừng trồng,2018-06-30,Thấp,Chưa xác minh
11.3074,108.090642,Lâm Đồng,Di Linh,Gia Bắc,735,2.0,33.0,Ủy ban nhân dân xã,Rừng trồng khác,Rừng trồng,2018-06-30,Thấp,Chưa xác minh
